tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
16	Корея завърши развиващите 10 минути Covid-19 диагностичен комплект и сега се развива до производство. Те планират да експортират 300.000 test-kits на седмица - URL	yes	no	yes	no	yes	no	yes
17	В момента има един голям слон в стаята, който не е единствената, която се случва в момента, и се случва в лошо, лошо време, в лошо, в лошо време, в лошо, в лошо време.	yes	no	yes	no	no	no	yes
18	Знаменитости продължават да се опитват да запеят вируса така. Това е филм на Дисни или нещо друго.	no	nan	nan	nan	nan	no	no
19	Може би ако имам	no	nan	nan	nan	nan	no	no
20	В момента обикаляме нашата фабрика, за да правим хирургически маски и други медицински облекла в кратки срокове. Ние можем да правим 2 милиона маски на ден, и се стремим да помогнем по всякакъв възможен начин през това време. #COVID19	yes	no	yes	no	yes	no	yes
21	"""Къщата ми"" ще пусне 6 викодин в четвъртък и ще го излекуват до събота сутринта."	no	nan	nan	nan	nan	no	no
22	Бях у дома, видях един приятел за последните 10 дни, пих бира за час извън кръчмата, от едната страна на масата, от другата страна на масата, от другата страна на масата, от другата страна на масата, от другата страна на масата, от другата страна на масата, от другата страна на масата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата, от другата страна на кръчмата.	yes	no	yes	no	no	no	no
23	Не разбирам как мекодоналдите могат да сервират по два милиарда хамбургера всяка година, но когато си поръчам пет милиона при шофирането, за да завладея системата,	no	nan	nan	nan	nan	no	no
24	Бро Китай е някъде тук и чете неграта нива на мощност и ние не можем дори да получите подходящи тестове	no	nan	nan	nan	nan	no	yes
25	Знам, че понякога съм хлъзгав, но задникът ми ще излезе навън.	no	nan	nan	nan	nan	no	no
26	Г-жо, съжалявам за живота без този коронов вирус.	no	nan	nan	nan	nan	no	no
27	"""Спрях го и му казах: ""Вижте, това не е филм. Вие не сте Will Smit in I Am Lang. Go hoom."" Това е актуализираната версия на италианските кметове, които губят от хората, нарушаващи #Covid19. Да, субтитрите са точни."	no	nan	nan	nan	nan	no	yes
28	И двете лекарства засягат QT интервала на сърцето ви и могат да доведат до аритмия и внезапна смърт, особено ако приемате други лекарства или имате сърдечно заболяване.	yes	no	yes	no	yes	no	yes
29	Ден 5: Ние сме преоткрити	no	nan	nan	nan	nan	no	no
30	Този Corona вирус ще мине през средата на април!!	yes	yes	yes	no	no	no	no
31	Много от вас попитаха какво е да си в спешното в момента. Искам да споделя малко с вас. Моля RT: A Day in the Life of a ER Doc - A Brief Disput from the #COVIDID19 Frontline:	no	nan	nan	nan	nan	no	no
32	Съществени стоки, лекарства и т.н. ще бъдат на разположение. Център и различни държавни правителства ще работят в тясна координация, за да гарантират това. Заедно, ние ще се борим COVID-19 и ще създадем по-голяма Индия. Джай Хинд!	yes	no	yes	no	yes	no	no
33	Кучета, когато разберат, че техните собственици не могат да напуснат заради короната	no	nan	nan	nan	nan	no	no
34	Не, никой не чисти като Гастон Карантините на Гастон като Гастон. Никой не спира да разпространява коли като Гастон.	yes	yes	no	no	no	no	no
35	Ето защо плажовете не са се затворили във Флорида и защо са имали минимална СОVID-19 превенция.	yes	no	yes	yes	yes	no	yes
36	"""Чувам те да правиш парти, ще изпратя полицията с огнемери."""	no	nan	nan	nan	nan	no	no
37	"В заключение, някои разумни съвети от медицинска сестра ""Това, което съм виждал много, са препоръки за това как да се опитаме да избегнем получаването на коронавирус на първо място -- добро пране на ръце, лична хигиена и социално дистанциране -- но това, което не съм виждал много съвети за..."	no	nan	nan	nan	nan	no	no
38	"""Корона"" не е реално, правителството иска да има в себе си две седмици, за да могат да сменят батериите на птиците."	yes	yes	no	no	no	no	no
39	6 ден от карантина: баща ми е разговарял с котките за	no	nan	nan	nan	nan	no	no
40	"Това е поколение Z. Искам да кажа, че защото хората обичат да звънят на всички 40 и под Millennials. Millennials не са в Spring Break. Millennials са в дома си крещейки на своите Boomer родители, които няма да седнат все още, защото те имат ""вяра над страх""."	yes	no	no	no	no	no	no
41	"""хей момчета, радвам се, че сте под карантина. Корона вирусът е истинско нещо."""	no	nan	nan	nan	nan	no	no
42	Ако не се разболееш, изборите, които правиш за това къде отиваш, могат да бъдат разликата между живот и смърт за някой друг.	yes	no	yes	no	no	no	yes
43	Този човек се нуждае от толкова много.	yes	no	no	no	no	no	no
44	Сега отмени тази закуска. Postpone, че кафе met-up. Rain проверка, че вечеря с приятели. Sucks не е тя?	no	nan	nan	nan	nan	yes	yes
45	Когато си вратар... и единствено дете... в самота... и се опитваш да се справиш с обучението си...	no	nan	nan	nan	nan	no	no
46	Може да е нещо голямо, но искам да ви напомня, че нашият Бог е Бог.	no	nan	nan	nan	nan	no	no
47	Предизвикателства в Инсталацията:- /	yes	yes	no	no	no	no	no
48	Сестрата на Кейти Портър, лекарят, се опитва да разбере как престоят в нея може да спаси животи по време на СОVID-19 криза	yes	no	yes	no	no	no	no
49	Някой друг да е крещял в гласа на Карди?	no	nan	nan	nan	nan	no	no
50	Тези работници се нуждаят от защита, здравеопазване и заплащане на обезщетения - независимо от статута на гражданството.	no	nan	nan	nan	nan	no	yes
51	Мен: з-майка ми с нейната докторска степен по корона вирус след като се дипломира от whatsapp резба: URL	no	nan	nan	nan	nan	no	no
52	Вижте BTS съобщението на надеждата да преодолее #COVID19, като се грижим един за друг! Ние каним Son Heung-min да продължи съобщението! Uld #SayConnected #ShiesStrong_ARMY #	no	nan	nan	nan	nan	no	no
53	Белите хора: СВОБОДНИ ЧОВЕЦИ: RONA Gay Peoples: Miss Rona	no	nan	nan	nan	nan	yes	no
54	Трябва ли да си тръгвате от май?	no	nan	nan	nan	nan	no	no
55	Тази сутрин... никога не съм виждал Вегас тази празна преди tbh #coronaviral	no	nan	nan	nan	nan	no	no
56	Имаше неприятен грип, който мина през декември / началото на януари. Казвам ти, това беше корона. Баре ppl бяха болни (включително мен) оплаквайки се от това, което сега знаем като симптомите на корона.	yes	nan	yes	yes	yes	no	yes
57	"И така, заради всичко, което се случи, си помислих: ""Защо не си направим един туитър?"" Така че, без повече приказки, каня всички ви в My twitter am! Можете да помолите някой да дойде с вас като приятел или като партньор. Балът ще се проведе на 25-ти март."	no	nan	nan	nan	nan	no	no
58	"Сега се занимавай с масите на ""Стандарт"" и ""Таймс"" е трудно."	no	nan	nan	nan	nan	no	no
59	От този до този адрес	no	nan	nan	nan	nan	no	no
60	Днес ние загубихме 2 колеги, един млад възрастен кардиологичен колега & amp; медицински онколог, дължащ се на COVID-19. Ние правим пауза, за да се молим за тях, И все пак тази война е, започва, без да има край в очите! Молим за вашите молитви Ние молим нашите политици да помогнат и агресивно да действат за подкрепа!	yes	no	yes	no	no	no	no
61	Китай има 24 пъти повече хора, отколкото Италия...	yes	no	no	no	no	no	no
62	След като всичко това приключи, не забравяйте в бъдеще интервюта за работа, за да ги попитате какво е направила тяхната компания, за да защити служителите си по отношение на глобалната ситуация COVID-19. Не може да се рискува да работи за своенравни компании.	no	nan	nan	nan	nan	no	no
63	Гуми от 15 до 15 години преди да се сдобият с корона	yes	yes	no	no	no	no	no
64	Прочетете отново: ITS ENTIRE ПРАВОМОЩИЯ.	yes	nan	yes	no	yes	no	no
65	Но кучката, която сте казвали -	no	nan	nan	nan	nan	no	no
66	Да, аз съм от Китай, но техническият термин е Covid-19 Майка ти произхожда от задната част на бук-шокларк, но я наричаме Джудит Не бъди лош.	yes	no	no	yes	no	no	no
67	Посочената в тази графа информация трябва да бъде включена в списъка в приложение I към Регламент (ЕО) No 1907/2006 на Европейския парламент и на Съвета от 18 декември 2008 г. относно защитата на лицата по отношение на обработката на лични данни от институции и органи на Общността и за свободното движение на такива данни (ОВ L 268, 18.8.2008 г., стр. 1).	yes	yes	no	no	no	no	no
68	Ядях това, което е чисто.	no	nan	nan	nan	nan	no	no
69	"Епидемиологът, който е помогнал за етеризирането на едрата шарка казва, че ранната работа на Тръмп с COVID-19 е ""е най-безотговорният акт на избран служител, който някога съм виждал през живота си""."	yes	no	yes	yes	no	no	yes
70	Това е полезно резюме на настоящото най-добро мислене сред експерти в областта на общественото здраве за това как трябва да подходим към борбата с COVID-19 през следващите седмици.	no	nan	nan	nan	nan	no	no
71	ЗЕЛЕНЧУЦИ, ПРЕСНИ или ЗАМРАЗЕНИ	yes	no	yes	no	no	no	no
72	Да, това се отнася и за двете страни.	no	nan	nan	nan	nan	no	no
73	Няма никакви свински думи.	yes	nan	yes	yes	yes	yes	yes
74	Знам какво става, но съм съгласен с тях, да се захващаме за работа, да си правим коли с малки задници, винаги да изглеждаме като паркинг, докато не се приближим.	no	nan	nan	nan	nan	no	no
75	Това е един поглед към това как лекар, който вече се е борил на фронтовата линия на една криза, го прави през един ден в тази. Добро напомняне за нас да им помогнем, като останем вкъщи.	no	nan	nan	nan	nan	no	no
76	Кълна се в себе си, ще се погрижа за теб и за теб.	no	nan	nan	nan	nan	no	no
77	Президент на Словакия, появяваща се в короната си капков, ръка-защита съвпадение на тъканите хирургически маски и костюми...	yes	no	no	no	no	no	no
78	"Този епизод на ""Black Mister"" е много дълъг."	no	nan	nan	nan	nan	no	no
79	Това е за теб, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебело, дебел задник, кучка. Идвам там и ще те пребия от бой, кучко.	no	nan	nan	nan	nan	no	no
80	Брато, това са единствените 3 песни, които чувам на моя TL-борд, вземи тази корона веднага!	no	nan	nan	nan	nan	no	no
81	Не всички герои носят пелерини, понякога те обличат одеало, а след това etflix chill в продължение на 2 седмици	no	nan	nan	nan	nan	no	no
82	си там винаги удобните места хитове 3G	no	nan	nan	nan	nan	no	no
83	След като разберете, че е заразена с Harvey weinstein	no	nan	nan	nan	nan	no	no
84	Има общо 35 вентилационни агрегати, 10k, които трябва да бъдат направени от govt. Тя е превърнала в нова болница 1k легло в Берлин. Смъртната й честота е малка, bcos масовото й изследване позволява карантина, а bcos има по-малко докладвани случаи.	yes	no	yes	no	yes	no	yes
85	Лица, след като са били поставени под карантина:	no	nan	nan	nan	nan	no	no
86	"Предотвратяване: Дете на възраст над 18 години е починало от коронавирус в Лос Анджелис, представители на общественото здраве обявяват, в това, което се смята, че е първата смърт на дете от вируса в САЩ. ""Опустошително напомняне, че COVID-19 заразява хора от всички възрасти"", казва здравният служител на ЛА."	yes	no	yes	no	yes	no	yes
87	Обръщане към нацията в борбата срещу заплахата от насилие. #IndiaFightsCorona	no	nan	nan	nan	nan	no	no
88	Всички мръсотии донесоха короната у дома от Маями &amp; сега тя се увеличава с 88% в 48HRS....	yes	yes	yes	yes	yes	yes	yes
89	Всеки, който излиза от короната като бариста	no	nan	nan	nan	nan	no	no
90	"""Ако зависеше от лекарите, щяха да затворят целия свят."" Всъщност, ако зависеше от нас, щяхме да спасим колкото се може повече хора."	yes	no	no	yes	yes	no	yes
91	Един от моите колеги почина днес от #COVISID19. Не много по-възрастен, добър човек.Ние бяхме заедно преди няколко седмици, говорейки за каквото и да е.Следващия път,когато го видях,той беше приет в интензивното.И това беше последният път,когато го видях.Цялото ми тяло се чувства изтръпна.	yes	no	no	no	no	no	no
92	"Ако ми беше казал в ""Нови години"", че в рамките на 3 месеца от 2020 г.: -Кобе Брайънт е мъртъв -Ще бъдем под карантина от COVID-19 -Училищата и спорта са затворени -Том Брейди е Тампа Бей Буканеър, щях легитимно да си помисля, че светът е към края си."	yes	no	no	no	no	no	no
93	Ако това е за тяхно добро, дай им сила да минат през него.	no	nan	nan	nan	nan	no	no
94	Един ден, ако той иска, и когато всичко това свърши, бих искал да се упражнявам с него като цел! Какво мислиш?	no	nan	nan	nan	nan	no	no
95	Има силно и разбираемо желание да се върнеш към по-добро и функционираща икономика, но това не трябва да се губи за никого, че няма такова нещо като функционираща икономика и общество, стига да продължи да се разпространява в най-големите ни градове.	no	nan	nan	nan	nan	no	no
96	Изоставена двупартийна работа по законопроекта COVID-19, след което се опита да премине безскрупулен корпоративен спасителен план, който не помогна достатъчно на здравните работници, на първите отговорили и на семействата от работническата класа. Фокусирай се върху ХОРА, ЗАЩИТНИ НЕ Wall Street.	yes	nan	yes	yes	yes	no	yes
97	Този човек се страхуваше, че ще зарази семейството си и си мислеше, че няма да получи лечение, защото те са бедни, така че той просто си е отнел живота.	no	nan	nan	nan	nan	yes	yes
98	Това е майка ми, тя е моят герой. Тя е 60-годишен лекар, лекуващ пациенти за #COVID19. Тя поставя здравето си в опасност, за да тества пациентите, да им даде необходимите грижи и да направи каквото може, за да предотврати разпространението на общността и обезщетяването на нашите болници.	yes	no	no	no	no	no	no
99	Преди един месец Италия откри първия си случай на #coronavirus. Ще ви кажа какво се случи само за един месец. Надявам се, че можете да се поучите от нашите грешки.	yes	no	yes	no	no	no	no
100	Това е режисьорът на RITM д-р Сил Карлос, който е бил несправедливо отстранен от позицията си, защото е отказала да приоритизира обработката на COVID-19 на тестове на катодми и други VIP-и над пациенти със симптоми.	yes	no	yes	yes	yes	no	yes
101	За да бъде ясно, Sen Loeffler не само стокова борса, но и незаконно използване на непублична информация (автономна), използва постъпленията, за да купува акции в ТЕЛЕВЪРНА компания SOFTWAER, реализирайки печалба от колапса на икономиката.	yes	no	yes	yes	yes	no	yes
102	"Cuomo &amp; Newsom са агресивни, * know* това, което предстои. В Тексас, Greg е ""fake cast"" на въпросите на един репортер, и Sen Cornyn е туитване Corona бира снимки 2 седмици след сега моята държава ще бъде дистопиан родео."	yes	no	yes	yes	yes	yes	yes
103	Да бъда ясен: Не е имало такова обсъждане....За новини за голямата работа на Гвардията ИЗ, които подкрепят отговора #Covid_19, щракнете върху линка. #COVID19	yes	no	yes	no	yes	no	no
104	ПРИЯТЕЛИТЕ за изцелението на природата и връщането на дивите животни поради СОВИДХЛ са фалшиви.	yes	yes	yes	no	yes	no	no
105	Поради голямото количество спекулации по отношение на #COVID19, това е напомняне да се разчита на OFFICIOAL източници за точна информация. Помощ за контрол на разпространението на слухове чрез споделяне на тази страница: URL	no	nan	nan	nan	nan	no	no
106	Отидете при надеждни източници за информация относно #COVID19! Us	no	nan	nan	nan	nan	no	no
107	Напомнянето, че двама републикански сенатори са замесени този уикенд в скандал с вътрешна търговия, продавайки милиони акции, като същевременно казват на избирателите COVID-19, че е измама.	yes	no	yes	yes	yes	yes	yes
108	Да проверим касовите бележки.	yes	no	yes	yes	yes	no	no
109	Помниш ли, когато председателят на Комитета за разузнаване на Сената се обогати чрез стокови сделки с вътрешна информация за опасността от COVID-19, докато неговата партия каза на хората, че това е шега, за да се сдобие с Тръмп?	yes	no	yes	yes	yes	yes	yes
110	Изображения, които се споделят в Whatsapp и други платформи с FAKE Next Тези съобщения са разработени с цел да причинят страх &amp; паника Моля, имайте предвид, че съобщенията, които не са подписани от официални източници	yes	no	yes	no	yes	no	no
111	Трябва ли да научим нещо от тази криза, да вярваме в учените и да избягваме да бъдем хванати с плоски крака следващия път?	no	nan	nan	nan	nan	no	no
112	Един може да фалшифицира номерата, но не може да фалшифицира факта, че само няколко апартамента все още са включени.	no	nan	nan	nan	nan	yes	yes
113	"Според съобщенията той е взел заплахата на Макрон да затвори границата на Обединеното кралство за Борис Джонсън, за да затвори най-накрая баровете и ресторантите, а Елиз се отнася към политиката на Обединеното кралство като ""пренебрегване""."	yes	no	yes	yes	yes	yes	yes
114	Какво са направили те: - Help Works - Help small business - Help - Held it a fun - Wonder on China - Work to Saving big business без условия Какво не са направили: - Help Works - Help works - Help mowers - Help businesss - Произведени достатъчно тестове или вентилатори	yes	no	yes	yes	yes	no	yes
115	"ПРЕДПРИЯТИЯ: ПРИЛОЖНО ПОЛЕ, Abs Kyari, Reportedly Surved OF OF TRUCTION #Coronavirus Á Shara Reporters Горният източник на правителството каза за SR в понеделник, че Kyari е сериозно ""даун"", тъй като се връща от пътуване в чужбина."	yes	no	yes	no	yes	yes	yes
116	3/16: ron paul публикува статия, която се обажда на corona a son 3/22: ron paul на сина тестове положителни за корона URL	yes	nan	yes	yes	yes	no	no
117	Това прилича на педантичен списък, но фалшив твърде! Моля, имайте предвид, че такива упътвания не са били дадени от ПОТРЕБИТЕЛЯ. В случай на каквото и да е съмнение, моля #Dial100 или туитване към нас! #TakingOnCoropona URL	no	nan	nan	nan	nan	no	no
118	Както видяхме над wokend, disinfo се разпространява онлайн за предполагаема национална заключване и заземяване полети. Бъдете скептични към слуховете. Уверете се, че получавате информация от законни източници.	yes	no	yes	no	no	no	yes
119	Докато вие мърморите за измислици и фалшиви новини, пандизът COVID-19 удари цяла Америка.	yes	yes	yes	yes	no	no	yes
120	"Не ми пука за ""промяна на тон"", ""промяна на сърце"", ""промяна на сърце"" нищо."	no	nan	nan	nan	nan	yes	yes
121	"Полицията е завела дело по раздел 509 от Наказателния кодекс срещу мъж, който уж се е сбил с жена от Манипур и я е нарекъл ""Корона"" в района на Нагар от северната част на Делхи снощи."	yes	no	no	no	no	no	no
122	"Fake neads peddler Dhrouv rafthee е казал: ""Корона вирус няма да се разпространи извън Китай, ние не трябва да се тревожи"" Има ли този човек някога говори нещо?"	yes	no	no	yes	yes	no	no
123	Тази снимка, отнасяща се до случай на #COVID19 в Kano, за който се твърди, че се съобщава от ПОТРЕБИТЕЛЯ е FALSE Тази снимка е направена, за да се разпространи страх и паника Подробности за потвърдените случаи могат да бъдат намерени чрез URL #FactsForderFear #COVISID19GERIA URL	yes	nan	yes	yes	yes	yes	yes
124	"Sen. Send Paul, човекът, който се противопостави на члена на члена на закона за освобождаване и е платен болничен отпуск, показал положителен резултат на 22 март и е ON ON PARID HISE HISE HISE Баща му, и бивш конгресмен, Рон Пол, публикува есето, озаглавено ""The Coronavirus Hoax"" на 17 март 17."	yes	no	nan	yes	yes	no	no
125	Ever.. Когато Индия се бореше с Corona, прасетата като PaintID споделяха Fake News to Create Panic for Congress Propaganda. Няма недостиг на PPE. Assam Medical College студентите тестваха PPEs като това, което може да се използва при настъпване на недостиг.	yes	nan	yes	yes	yes	yes	yes
126	Тези, които са поставили цялото население на САЩ в риск, и много хора са загубили живота си. FOX News трябва да се изправи пред един клас на действие, за да ги държи отговорни.	no	nan	nan	nan	nan	no	yes
127	"Спомняте ли си колко болни бяха всички по време на празниците? И как всички казваха, че имат ""flu"" и ""flu"" и ""flu"" шот ""nidn't work""?"	no	nan	nan	nan	nan	yes	yes
128	Да проверим касовите бележки.	yes	no	yes	yes	yes	no	no
129	Ако любовта си към човечеството, тогава п-спри да препращаш към всеки фалшив msg abt #Hantavirus, за да се избегне паника, когато ние вече има достатъчно, за да се бори с Wid #Cononavirus. Hanta Вирусът се разпространява само от урината, фекалиите или слюнката на заразените животни.	yes	no	yes	no	yes	no	no
130	Извън Чикаго точно сега #coronavirus #forsdisolation # understand #ontahoax URL	no	nan	nan	nan	nan	no	no
131	Coronavirus: AltNews основател, Shekhar Gupta и др. се разпространяват непроверени твърдения от профил на filth twitter URL	yes	no	yes	yes	yes	no	no
132	"Съобщение от Министерството на информацията ""Общият пул"" се призовава да не се обръща внимание на всяка гласова бележка, която циркулира на WhatsApp, че един хеликоптер ще напръска ""антивирус"" в цялата нация от 11:00 ч. Тази новина е фалшива и трябва да бъде взета предвид в своята цялост."""	yes	no	yes	no	no	no	no
133	Как да знам, че това не е #FakeNews? Тъй като моето дете е ICU медицинска сестра в CA. Те не са имали достатъчно #NN95	no	nan	nan	nan	nan	no	yes
134	- Създай си профил - Tweet Фалшиви новини - Pidi propertys will RT &amp; Quote RT - След това оригиналният pidi will Quote RT - Create create - Size Panica - Size - Deactivate the account	no	nan	nan	nan	nan	no	no
135	Китайската комунистическа партия потисна информацията за избухването на #COVID19 от света за политически цели. Вместо да поеме отговорност, те активно пробутват конспиративна теория на пропагандата срещу Съединените щати.	yes	nan	yes	yes	yes	yes	yes
136	ОСНОВНО ОСНОВЕНИЕ 3 Д-р Osman. Отстраняване на всички около него Осъществяване на списъка	no	nan	nan	nan	nan	no	no
137	"Има сериозни бъбречни проблеми, които могат да доведат до бъбречна недостатъчност малко след като се е върнала от Ката. Прави това 1-ва ""вирусно-свързана"" смърт на някой, който не е гражданин."	yes	nan	yes	no	yes	no	no
138	Fearmongering #PharmaFafuci - който изгради цялата си кариера върху BOGUS HIV-AID$ причинно-следствената връзка чрез натискане на #FakeScience of the immunal system &amp; имперски контрол на сервилната академична система, СВОЯТА мисъл, че ще му се размине тази настояща игра на вкаменен #coronacus American public. HOT!!	yes	yes	yes	yes	yes	yes	yes
139	"#FakeNews playbook. Поставете думата ""FALSE"" в големи лилави букви над Q post показвайки ясно как #Covid19 пандемията не може да е била инцидент, надявайки се, че обществото няма да види колко далеч извън стандартното отклонение всички начини, по които боли Тръмп е."	no	nan	nan	nan	nan	yes	yes
140	"""Никой не иска да се доближава до мен."" След като Нигерия регистрира първия си положителен #COVID19 случай, една история се разпространи в социалните медии. Твърдеше, че шофьорът на такси на пациента е искал плащане, за да не разпространява болестта. Историята е фалшива, но въздействието върху Юда е много реално."	yes	no	yes	no	no	no	no
141	Те са ритници ass &amp; по този начин w/ semport &amp; уважение, като се грижи за нашите граждани, докато Тръмп се опитва да ни накара да повярваме, че той промени мнението си за това да се обади на #Coronavirus на шега!	no	nan	nan	nan	nan	no	yes
142	Започнах да си мисля, че страхопочитанието на Coronavirus е всъщност нещо, за което да се притесняваме. Тогава този ход от Pelosi Joid, и всичко стана ясно отново. COVID-19 е измама.	yes	yes	yes	yes	yes	yes	yes
143	Трябва да предприемем действия, за да предотвратим разпространението му.	yes	nan	yes	yes	yes	yes	yes
144	Знайте фактите за #COVID19. Don't Share swords &amp; неумишлено се разпространява дезинформация. Feder, state &ham; локалните власти са обявили текущата и точна информация. За помощ при разграничаването на слуха от факта, вижте ПОТРЕБИТЕЛЯ Coronavirus Source: Use	yes	no	yes	no	no	no	no
145	Симптомите включват повишена температура, кашлица или недостиг на въздух.	yes	no	yes	no	no	no	no
146	Г-н председател, г-н председател, г-н председател, г-н председател, г-н председател, г-н председател, г-н председател, г-н председател, г-н председател, г-н председател, г-н председател,	yes	nan	yes	no	yes	no	yes
147	#УСТЪПКА Един въздушен персонал се обръща към всички да не се разпространява слухове и вместо себе си да се саморазпространят; други за #COVID19, след като тя получава тормоз от хора в нейното жилище общество за разпространение #Coronavirus.	yes	no	yes	no	no	no	no
148	Засрами се, че човек с твоята репутация разпространява фалшиви новини/разногласия в сляпа омраза към Индия и нейните традиции.	yes	nan	yes	yes	no	no	no
149	"Друга ""fake news' being pedded in India is India е страна на вегетарианци, така че тя няма да бъде засегната от #CoronaVirus като Китай. Vegetarianism &amp; #Corona has No verse. + Индия е вегетарианството е мит, 80% индианци са месоядни!"	yes	no	yes	no	yes	no	no
150	"Има една статия, в която се казва, че ""Uganda потвърждава първия случай на Coronavirus""-това не е вярно и абсолютно погрешно."	yes	nan	yes	no	yes	no	no
151	Моето предупреждение, публикувано тази сутрин,	yes	nan	yes	no	no	no	yes
152	Един онлайн сайт е невярно докладван, че правителството има вероятност да наложи финансова криза в Индия, за да се справи с кризата, причинена от #Covid19. Моля, имайте предвид, че историята е злонамерена и фалшива и че няма такъв план.	yes	no	yes	no	yes	no	no
153	"""Кий и главата на СЗО: Дръж ги и двамата отговорни за пандизията"": А обвинителен акт за това как?#@WHO главен прокурор?@DrTedrosISOH, уж помогна на китайския президент #XiJinping прикрива пълна степен на #COVID19 в продължение на седмици в Ян, причинявайки глобално бедствие. Прочетете!"	yes	nan	yes	yes	yes	yes	yes
154	5 години затвор и депортация и забрана за доживотна присъда от #UAE за споделяне на непотвърдени или #FakeNews about #CoronaVirus on social media or whatsapp. #UAE Government Най-доброто съобщение, което съм чувал по време на тази пандемия.	yes	no	yes	no	no	no	yes
155	Доколкото знам, че са близо до мен, които са показали, че са положителни за Корона. И двете се възстановяват от пневмония в болница.	yes	nan	nan	no	no	no	no
156	#FakeNews Alert #PIBFACTCheck: Твърдението, че Paracetamol can treat #Coronavirus инфекция е невярно! Пазете се от #False средства, които се споделят на #Covid19india. За автентичност информация за #CoronavirusInInIndia resident	yes	no	yes	no	yes	no	no
157	Затворник, освободен по-рано от COVIDID- 19 случая, за които се предполага, че е влязъл в дома на жената, завързал я е с нож и е заплашил да я убие.	yes	no	yes	nan	yes	yes	yes
