tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
11	إذاً قصر التنفس هو أعراض التآكل، ولكن أتعلم ما الذي يعطيني أيضاً قصر التنفس؟ القلق. وتعرف ما الذي كان يسبب لي القلق؟ أعتقد أن لدي الكورونا.	no	nan	nan	nan	nan	no	yes
12	"لذا، في الأسبوع الأخير كنت أحارب COVID-19 & amp; الرئوي. لم أكن بهذا المرض من قبل في حياتي. ""الشباب ليسوا في خطر، سيكون لديهم أعراض معتدلة فقط"" خطأ. أريد أن أنفتح حول الصعوبات التي مررت بها في الأيام الماضية، كيف كان الحال في وحدة العناية المركزة..."	yes	no	yes	no	yes	no	yes
13	أمي لديها شهادة دكتوراة على كورونا فيروس من جامعة ماس آب	yes	yes	no	no	no	no	no
14	ثم صوّت ضد مشروع قانون إغاثة (كوفيد 19) يجب أن يذهب	yes	nan	yes	yes	yes	yes	yes
15	"أحفاد المستقبل: ""مرحباً جدّي يريد كورونا؟"" لي: URL"	no	nan	nan	nan	nan	no	no
16	وقد أنهت كوريا تطوير مجموعة الأدوات التشخيصية من 10 دقائق من طراز COvid-19، وهي الآن بصدد زيادة الإنتاج. وهي تخطط لتصدير 000 300 من kitts الاختبار في الأسبوع - URL - URL.	yes	no	yes	no	yes	no	yes
17	هناك فيل كبير في الغرفة الآن، (كوفيد) ليس الوباء الوحيد الذي يحدث الآن	yes	no	yes	no	no	no	yes
18	المشاهير يستمرون في محاولة الغناء للفيروس بعيدا مثل هذا هو فيلم ديزني أو شيء من هذا القبيل	no	nan	nan	nan	nan	no	no
19	ربما لو أني طورت مشاعراً لـ (كوفيد - 19) سترحل	no	nan	nan	nan	nan	no	no
20	غالباً ما أتحدث عن الأفلام هنا، لكن ها نحن ذا. نحن حالياً نقوم بتحويل مصنعنا لصنع الأقنعة الجراحية وغيرها من الملابس الطبية في حالة عجز. يمكننا أن نصنع مليوني قناع يومياً، ونبحث عن المساعدة بأي طريقة ممكنة خلال هذا الوقت. #COVID19 URL.	yes	no	yes	no	yes	no	yes
21	بيت رجالي سيضرب 6 فيكودين يوم الخميس وسيحصل على ذلك العلاج بحلول صباح يوم السبت	no	nan	nan	nan	nan	no	no
22	لقد فعلت كل شيء تقريباً بشكل صحيح، عملت في المنزل، رأيت صديقاً واحداً في آخر 10 أيام، تناولت جعة لمدة ساعة خارج الحانة، على جانبي طاولة كبيرة، هواء نقي، لا اتصال، غسلت يدي 3 مرات، لا زلت أصطاد الكورونا منه، لا تعبث مع هذا الشيء	yes	no	yes	no	no	no	no
23	أنا لا أفهم كيف يمكن للمكدونالدز أن تخدم ملياري هامبرغر كل عام ولكن عندما أطلب خمسة ملايين في محرك الدفع	no	nan	nan	nan	nan	no	no
24	برو الصين خارج هنا قراءة زنوج مستويات الطاقة ونحن لا نستطيع حتى الحصول على اختبار كاف	no	nan	nan	nan	nan	no	yes
25	أعلم أنّي أكون فظًّا أحيانًا، لكنّ مؤخرتي ستأتي خارجًا أعدك (لول)	no	nan	nan	nan	nan	no	no
26	تَتغيّبُ عن سابقكَ السابق، أَتغيّبُ عن الحياةِ بدون الفيروسِ	no	nan	nan	nan	nan	no	no
27	"""أوقفته وقلت، 'انظر، هذا ليس فيلم. أنت لست ويل سميث في I Am Am. اذهب إلى البيت. اذهب إلى البيت."" هذه هي المجموعة المستكملة من المحافظين الإيطاليين الذين فقدوها في مواجهة الناس الذين ينتهكون الحجر الصحي #Covid19. نعم، الترجمة هي دقيقة. URL."	no	nan	nan	nan	nan	no	yes
28	من فضلك لا تأخذ ثنائي كلوروكوين الهيدروكسي (Plaquenil) زائد Azetheromycin لـ #COVID19 إذا كان الطبيب الخاص بك يصف ذلك. كلا الدواءين يؤثر على فترة QT في قلبك ويمكن أن يؤدي إلى عدم انتظام في ضربات القلب والموت المفاجئ، خاصة إذا كنت تأخذ أدوية أخرى أو لديك حالة قلبية.	yes	no	yes	no	yes	no	yes
29	« يوم 5 : إنا مُرُّون » خلقنا خلقنا خلقنا خلقًا وفي خلقنا خلقنا خلقًا خلقنا خلقًا خلقًا خلقًا خلقًا خلقًا خلقًا خلقًا خلقًا : قد خلقنا خلقنا خلقًا خلقًا خلقنا خلقًا عظيمًا : قد خلقنا خلقًا خلقًا خلقًا خلقًا خلقًا خلقًا خلقًا : نحن م إعادة خلقًا خلقًا : إعادة خلقًا خلقًا : هو خلقًا خلقًا خلقًا خلقًا خلقًا : هو خلقًا خلقًا : هو خلقًا : هو خلقًا : هو خلقًا وخلقً : هو خلقًا : هو خلقًا وخلقً : هو خلقًا وخلقً : هو خلقًا : : هو خلقًا : : هو خلقًا وخلقً : هو خلقًا أهل : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق رب رب خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق خلق رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب رب خلق	no	nan	nan	nan	nan	no	no
30	فيروس (كورونا) هذا سيمر بحلول منتصف أبريل!	yes	yes	yes	no	no	no	no
31	شكراً لكم جميعاً على رسائل الدعم والتشجيع الرائعة. لقد سأل العديد منكم كيف كان الحال في غرفة الطوارئ الآن. أريد أن أشارككم قليلاً. رجاءً آر تي: يوم في حياة طبيب الطوارئ - رسالة موجزة من خط الجبهة #COVID19:	no	nan	nan	nan	nan	no	no
32	زملائي المواطنين، ليس هناك حاجة إلى الذعر، السلع الأساسية، الأدوية وما إلى ذلك ستكون متاحة. المركز ومختلف حكومات الولايات سوف تعمل في تنسيق وثيق لضمان ذلك. معاً، سوف نحارب COVID-19 ونخلق الهند أكثر صحة. جاي هيند!	yes	no	yes	no	yes	no	no
33	الكلاب عندما اكتشفوا أن مالكيهم لا يستطيعون المغادرة بسبب فيروس الكورونا URL	no	nan	nan	nan	nan	no	no
34	لا أحد ينظف مثل (غاستون) مثل الحجر الصحي مثل (غاستون) لا أحد يتوقف عن نشر (COVID-19) مثل (غاتون)	yes	yes	no	no	no	no	no
35	وهذا هو السبب في أن الشواطئ لم تغلق في فلوريدا، ولماذا كان لديهم الحد الأدنى من الوقاية COVID-19. عطل مطلق. URL. URL. URL.	yes	no	yes	yes	yes	no	yes
36	"الشيء المفضل الجديد لدي هو رؤساء بلديات إيطاليين ورؤساء إقليميين يخسرون تكنولوجيا المعلومات في الناس الذين ينتهكون الحجر الصحي. هنا مجموعة تحتية. ""سمعت أنكم تريدون رمي حفلات التخرج. سأرسل الشرطة إلى هناك. مع قاذفات اللهب."" #Coved19#Corona URL."	no	nan	nan	nan	nan	no	no
37	"أخيرا، بعض النصائح المعقولة من ممرضة ""ما رأيت الكثير منه هي توصيات لكيفية محاولة تجنب الحصول على فيروس الكورونا في المقام الأول -- غسل جيد لليد، النظافة الصحية الشخصية والتفرقة الاجتماعية -- ولكن ما لم أر الكثير منه هو النصيحة ل..."	no	nan	nan	nan	nan	no	no
38	فيروس (كورونا) ليس حقيقياً، الحكومة فقط تريد الجميع بالداخل لأسبوعين حتى يتمكنوا من تغيير البطاريات في الطيور.	yes	yes	no	no	no	no	no
39	في اليوم السادس من الحجر الصحي : تحدث ابي الى القطط حول covid-19 URL URL	no	nan	nan	nan	nan	no	no
40	"هذا هو جيل زد. أريد أن أسمي ذلك لأن الناس يحبون دعوة الجميع 40 وتحت الالفية. الالفية ليست في عطلة الربيع. الالفية في البيت تصرخ على والديها المزدهرين الذين لن يجلسوا لأن لديهم ""الإيمان على الخوف""."	yes	no	no	no	no	no	no
41	"""مرحباً يا رفاق سعداء بحجر ذاتي صحي. فيروس الكورونا شيء حقيقي."" نجاح باهر لم يكن لدي أي فكرة! شكراً كايلي! URL!"	no	nan	nan	nan	nan	no	no
42	"تحذر منظمة الصحة العالمية الشباب: ""أنت لست لا تقهر"". قد يضعك COVID-19 في المستشفى لأسابيع، أو حتى يقتلك. وحتى إذا لم تمرض، فإن الخيارات التي تتخذها بشأن المكان الذي تذهب إليه قد تكون الفرق بين الحياة والموت لشخص آخر."	yes	no	yes	no	no	no	yes
43	فاتورة مستشفى هذا الرجل سوف تكون كثيرة جداً	yes	no	no	no	no	no	no
44	فيديو لمستشفى في إسبانيا. راقبه. راقبه مرة أخرى مع حجم أعلى. الآن إلغاء ذلك المتأخّر. قم بتأجيل ذلك المقهى يلتقي. تفقّد ذلك العشاء مع الأصدقاء. تمتصّه. أليس كذلك؟ ولكن ليس بقسوة مثل هذا #COVID#19#Corona فيروس #StyATHome URL	no	nan	nan	nan	nan	yes	yes
45	عندما تكون حارساً للأهداف وطفلاً وحيداً... في عزلة ذاتية... ويحاول مجاراة تدريبك...	no	nan	nan	nan	nan	no	no
46	Covid-19 قد يكون كبيرا، ولكن أريد فقط أن أذكركم جميعا أن إلهنا هو Bigger.	no	nan	nan	nan	nan	no	no
47	أعلن مركز CDC للتو أن الكورنا يمكن أن تنتشر عبر تحديات قصص Instagram:-/	yes	yes	no	no	no	no	no
48	شقيقة (كاتي بورتر)، طبيبة، تنهار كيف أن البقاء في المنزل يمكن أن ينقذ الأرواح خلال أزمة COVID-19 URL	yes	no	yes	no	no	no	no
49	"أي شخص آخر فقط بشكل عشوائي يَصْرخُ ""Corona فيروس"" في صوتِ Cardi؟"	no	nan	nan	nan	nan	no	no
50	فهؤلاء العمال يحتاجون إلى الحماية، والرعاية الصحية، والأجر المرضي - بغض النظر عن وضعهم من حيث المواطنة. فخدماتهم هي خدمات أساسية ويلزم أن يكون هناك حوار أكثر عدوانية حول هذه المسألة. كيف ستبدو الحياة من دونهم؟ لا أريد أن أعرف!	no	nan	nan	nan	nan	no	yes
51	أمّي مع ضغط دمّها في فيروس الكورونا بعد التخرّج مِنْ خيوطِ ماساتسب: URL	no	nan	nan	nan	nan	no	no
52	تحقق من رسالة أمل BTS للتغلب على #COVID19 عن طريق رعاية بعضنا البعض! نحن ندعو الابن هيونغ مين لمواصلة الرسالة!	no	nan	nan	nan	nan	no	no
53	الأشخاص البيض: COVID-19 السكان السود: ملكة جمال رونا	no	nan	nan	nan	nan	yes	no
54	corna sis أنت تَتْركُ مِن قِبل mai حقّ؟ URL. URL	no	nan	nan	nan	nan	no	no
55	لم يسبق أن رأيت فيغاس هذه الفارغة قبل TBH #Corona Virson URL	no	nan	nan	nan	nan	no	no
56	كان هناك انفلونزا سيئة التي دارت حولها في ديسمبر / أوائل يناير. أنا أقول لكم، كان ذلك كورونا. باير ppl كان مريضا (بما في ذلك لي) يشكو مما نعرفه الآن كأعراض للكورنا.	yes	nan	yes	yes	yes	no	yes
57	لذلك، بسبب COVID-19 تخريب كل شيء، فكرت 'لماذا لا يكون لدينا حفل تويتر؟' لذلك، دون مزيد من الضجة، وأنا أدعو لكم كل بلدي twitter حفلة موسيقية! يمكنك أن تطلب من شخص ما أن يذهب معك كصديق أو كشريك. سوف يعقد الحفل في 25 مارس. التفاعل للانضمام!	no	nan	nan	nan	nan	no	no
58	الطاولات المتأرجحة الآن الوقت صعب	no	nan	nan	nan	nan	no	no
59	من هذا إلى هذا	no	nan	nan	nan	nan	no	no
60	واليوم فقدنا زميلين اثنين، زميل شاب في قسم أمراض القلب وزملائه؛ أخصائي أورام طبي بسبب COVID-19. توقفنا لنصلي من أجلهم، ومع ذلك هذه الحرب بدأت لتوها، بدون نهاية في الأفق! نطلب من ساسةنا أن يقدموا المساعدة وأن يعملوا بعنف من أجل الدعم!	yes	no	yes	no	no	no	no
61	الصين لديها 24 ضعف الناس أكثر من إيطاليا...	yes	no	no	no	no	no	no
62	بعد انتهاء كل هذا، رجاءً تذكروا في مقابلات العمل المستقبلية لسؤالهم عما فعلته شركتهم لحماية موظفيها فيما يتعلق بحالة COVID-19 العالمية. لا يمكن المخاطرة بالعمل لدى الشركات المتعثرة.	no	nan	nan	nan	nan	no	no
63	"اللمعات من 15 عاماً قبل 15 عاماً أحارب ""Corona URL"" و""Corona URL"" و""Corona URL"" و""Corona URL"" و""Corona URL"" و""Corona URL"" و""Corona URL"" و""Corona URL"""	yes	yes	no	no	no	no	no
64	اختبرت ايسلندا جميع سكانها ، اقرأها مرة اخرى : سكانها الحقيقيون.	yes	nan	yes	no	yes	no	no
65	لكن أيتها الساقطه أنتم جميعاً قلتم - URL	no	nan	nan	nan	nan	no	no
66	مرحباً، لقد نشأت من الصين لكن المصطلح الفني هو (كوفيد 19) أمك نشأت من مؤخرة سيارة (بويك سكايلرك)	yes	no	no	yes	no	no	no
67	وجدت الجمهورية الدومينيكية علاجاً لـ Covid-19 URL	yes	yes	no	no	no	no	no
68	كنت آكل ذلك الروك النقي الذي لم نبنيه بنفس الشكل	no	nan	nan	nan	nan	no	no
69	"عالم الأوبئة الذي ساعد في القضاء على الجدري يقول أن التعامل المبكر لترامب مع COVID-19 هو ""أهم فعل غير مسؤول من قبل مسؤول منتخب"	yes	no	yes	yes	no	no	yes
70	هذا ملخص مفيد لأفضل تفكير حالي بين خبراء الصحة العامة حول كيفية تناولنا للكفاح ضد COVID-19 في الأسابيع القادمة.	no	nan	nan	nan	nan	no	no
71	يَجْعلُ مشاهيرَ يَجْعلونَ غناء شرائط فيديو كفيروس كورونا الآن يَقْفزُ على 230k حالاتِ حول العالم URL	yes	no	yes	no	no	no	no
72	وكل عضو من أعضاء مجلس الشيوخ كان يتاجر بالمتاجرة الداخلية بعد تلك الإحاطة الإعلامية من مؤتمر COVID-19 ينبغي أن يستقيل على الفور. نعم، ينطبق هذا على كلا الطرفين.	no	nan	nan	nan	nan	no	no
73	تدّعي أنّها طبيبة، لا توجد كلمات، رجاءً تبرّع إن استطعت	yes	nan	yes	yes	yes	yes	yes
74	(برودك) ما يجري، لكنّي أتفق معهم، تباً للمؤخرات الصغيرة، سيّارات صغيرة تبدو دائماً كموقف للسيارات حتّى تقترب أكثر.	no	nan	nan	nan	nan	no	no
75	وإليكم نظرة على كيف أن طبيب الطوارئ الذي حارب بالفعل في الخطوط الأمامية لأزمة واحدة يجعل الأمر يمر بيوم واحد في هذه الأزمة. وهو تذكير جيد لنا بمساعدتهم بالبقاء في المنزل.	no	nan	nan	nan	nan	no	no
76	ربّ الله، رجاءً احمِ غزة مهما كلّفَتْ	no	nan	nan	nan	nan	no	no
77	رئيس (سلوفاكيا) يظهر في قشرة قشرتها المتطابقة يدوياً مع الأقنعة الجراحية...	yes	no	no	no	no	no	no
78	هذه الحلقة من المرآة السوداء طويلة جداً جداً	no	nan	nan	nan	nan	no	no
79	هذا من أجل (كورونا) أيتها العاهرة السمينة الكبيرة البيضاء السمينة	no	nan	nan	nan	nan	no	no
80	برو هذه الأغاني الثلاثة الوحيدة التي أسمعها على لوردي خذ هذا الكورونا بعيداً الآن! URL!	no	nan	nan	nan	nan	no	no
81	ليس كل الأبطال يرتدون القبّات أحياناً يرتدون بطانيّة فقط ثم يرتدونها لأسبوعين	no	nan	nan	nan	nan	no	no
82	هو دائماً دائماً مكان مريح يَضْربُ 3G يَضْربُ 3G	no	nan	nan	nan	nan	no	no
83	بعد ان اكتشفت انها اصيبت هارفي Weinstein URL	no	nan	nan	nan	nan	no	no
84	تجري ألمانيا 160ك كوفيد 19 اختباراً أسبوعياً، ولديها ما مجموعه 35 كلم من أجهزة التهوية، و10 كلم أمرت بصنعها الحكومة، وحولت مستشفى سرير جديد بـ 1ك في برلين. ومعدل الوفاة هو معدل صغير جداً يسمح اختبار الكتلة بالحجر الصحي وBcos لديها عدد أقل من الحالات التي لم يتم الإبلاغ عنها.	yes	no	yes	no	yes	no	yes
85	الناس بعد الحجر الصحي: URL	no	nan	nan	nan	nan	no	no
86	"كسر: الطفل الذي يقل عمره عن 18 عاما توفي من فيروس الكورونا في لوس أنجلوس، يعلن مسؤولو الصحة العامة، في ما يعتقد أنه أول طفل يموت من الفيروس في الولايات المتحدة. ""تذكرة مدمرة أن COVID-19 تصيب الناس من جميع الأعمار""، يقول مسؤول الصحة في لوس أنجلوس."	yes	no	yes	no	yes	no	yes
87	التعامل مع الأمة في مواجهة خطر COVID-19. # IndiaFightsCorona URL.	no	nan	nan	nan	nan	no	no
88	أحضرتم (كورونا) من (ميامي) إلى المنزل من (ميامي) والآن زادت بنسبة 88% في (48 HRS)	yes	yes	yes	yes	yes	yes	yes
89	"""كل شخص يخرج من ""كورونا"" كـ ""بار"""	no	nan	nan	nan	nan	no	no
90	"@reedadnaldtrp فقط قال: ""إذا كان الأمر متروكاً للأطباء، كانوا سيغلقون العالم بأسره."" في الواقع، لو كان الأمر عائداً إلينا، كنا سننقذ أكبر عدد ممكن من الناس. كنا سنتبع العلم و المصباح؛ الدليل. ما كنا لنضع السياسة قبل صحة العامة #covid19."	yes	no	no	yes	yes	no	yes
91	"أحد زملائي توفي اليوم من ""الكوفيد19"" ليس أكبر سناً كثيراً، رجل عظيم، كنا نجلس معاً قبل أسبوعين، نتحدث عن أي شيء، في المرة التالية التي رأيته فيها، تم إدخاله إلى وحدة العناية المركزة، وهذه كانت آخر مرة رأيته فيها، جسدي كله يشعر بالتخدير."	yes	no	no	no	no	no	no
92	إذا أخبرتني في السنوات الجديدة أنه في غضون 3 أشهر من عام 2020:	yes	no	no	no	no	no	no
93	يا الله، لقد أعطيتهم اختباراً ضخماً أكثر منا في جميع أنحاء العالم. إن كان هذا لخيرهم، فوفر لهم القوة ليمروا به.	no	nan	nan	nan	nan	no	no
94	يوماً ما، إذا أراد، وعندما ينتهي كل هذا، أود أن أمارس رياضتي معه على الهدف! ما رأيك؟	no	nan	nan	nan	nan	no	no
95	هناك رغبة قوية ومفهومة للعودة إلى أوقات أفضل واقتصاد فعال. ولكن لا ينبغي أن نفقد على أي شخص أنه لا يوجد شيء من هذا القبيل	no	nan	nan	nan	nan	no	no
96	بعد ذلك حاول ميتش التخلي عن العمل الحزبي الثنائي على مشروع قانون COVID-19، ثم حاول تمرير خطة إنقاذ الشركات المرتبطة بلا قيود والتي لم تكن كافية لمساعدة العاملين في مجال الرعاية الصحية، والمستجيبين الأولين، وعائلات الطبقة العاملة. التركيز على الشعب، USERID وليس وول ستريت.	yes	nan	yes	yes	yes	no	yes
97	كان هذا الرجل خائفاً جداً من إصابة عائلته وظن أنه لن يحصل على العلاج المناسب لأنهم فقراء لذا فقد أخذ حياته الخاصة	no	nan	nan	nan	nan	yes	yes
98	هذه أمي، إنها بطلتي، إنها طبيبة رعاية أولية تبلغ من العمر 60 عاماً تختبر المرضى لـ #COVID19، تضع صحتها على المحك لاختبار المرضى، وتحصل لهم على الرعاية التي يحتاجونها، وتفعل ما بوسعها لمنع انتشار المجتمع والإثقال بمستشفياتنا.	yes	no	no	no	no	no	no
99	"قبل شهر واحد بالضبط وجدت إيطاليا أول حالة لها من فيروس ""الكورونا"" سأخبركم بما حدث في شهر واحد فقط آمل أن تتعلموا من أخطائنا"	yes	no	yes	no	no	no	no
100	هذا هو مدير RITM الدكتور سيليا كارلوس الذي زُعم أنه أُبعد بدون وجه حق من وظيفتها لأنها رفضت إعطاء الأولوية لمعالجة اختبارات COVID-19 للساسة غير الظاهريين وغيرهم من كبار الشخصيات على المرضى الذين يعانون من الأعراض.	yes	no	yes	yes	yes	no	yes
101	ومن الواضح أن السيدة لويفلر لم تتخلص فقط من المخزون، مستخدمة بصورة غير قانونية المعلومات غير العامة (يُدعى أنها استخدمت العائدات لشراء الأسهم في شركة TELEOOREKing SOFTWARE، مربحة بذلك من انهيار الاقتصاد الناجم عن الوثيقة #COVID19.	yes	no	yes	yes	yes	no	yes
102	"تكساس، نيويورك، آند كامب، كالي هي أكبر ثلاث ولايات. Cumomo & amp; Newsom عدوانية، * معرفة* ما هو قادم. في تكساس، جريج أبوت هو ""سعال زائف"" لأسئلة المراسلين، و سين كورنين تغرد كورونا بيرة صور أسبوعين من الآن"	yes	no	yes	yes	yes	yes	yes
103	سمعت شائعات لا أساس لها حول #NationalGuard قوات دعم الحجر الصحي في جميع أنحاء البلاد. اسمحوا لي أن أكون واضحا: لم يكن هناك مثل هذا النقاش.... للأخبار عن العمل العظيم الذي يقوم به الحرس لدعم استجابة #Covid_19، انقر على الوصلة. #COVID19 URL.	yes	no	yes	no	yes	no	no
104	الاصدقاء.الاشياء عن شفاء الطبيعة والحياة البرية العائدة بسبب COVID-19 مزيّفة.	yes	yes	yes	no	yes	no	no
105	نظراً لكمية كبيرة من المضاربة فيما يتعلق #COVID19، هذا تذكير للاعتماد على المصادر المالية للحصول على معلومات دقيقة. ساعد في التحكم في انتشار الشائعات عن طريق تقاسم هذه الصفحة: URL URL URL	no	nan	nan	nan	nan	no	no
106	توخى الحذر من التضليل والإشاعات والأخطاء الوقائعية. اذهب إلى مصادر موثوق بها للحصول على معلومات عن #COVID19! URL! URL	no	nan	nan	nan	nan	no	no
107	والتذكير بأن اثنين من أعضاء مجلس الشيوخ الجمهوري كانا متورطين هذا الأسبوع في فضيحة تجارية داخلية، بيع الملايين من الأسهم أثناء إخبار الناخبين COVID-19 كانت خدعة. ولم يستقيل أي من الجمهوريين.	yes	no	yes	yes	yes	yes	yes
108	"شركة ""فوكس نيوز"" تدعي أنها لم تدع ""كوفيد-19"" بالخدعة، لنتحقق من الإيصالات."	yes	no	yes	yes	yes	no	no
109	تذكر عندما قام رئيس لجنة الاستخبارات بمجلس الشيوخ بإثراء نفسه من خلال مبادلات الأسهم من المعلومات الداخلية عن خطر COVID-19 بينما قال حزبه للناس انها كانت خدعة للحصول على ترامب؟	yes	no	yes	yes	yes	yes	yes
110	ملاحظات صوتية، برامج إذاعية، amp; يتم تقاسم الصور على Watsapp وغيرها من من منصات مع FAKE News هذه الرسائل يتم تطويرها بقصد التسبب في الخوف و amp; الذعر رجاء تجاهل الرسائل التي لا توقعها المصادر الرسمية URL #COVID19 URL	yes	no	yes	no	yes	no	no
111	جي، إذا كان COVID-19 ليس خدعة بعد كل شيء، هل من المحتمل أن تغير المناخ ليس كذلك أيضا؟ هل ينبغي لنا أن نتعلم شيئا من هذه الأزمة، نعتقد العلماء،	no	nan	nan	nan	nan	no	no
112	في الساعة 8: 00 مساء اليوم بالتوقيت المحلي في #Wuhan. انظر كم عدد المصابيح هناك؟ يمكن للمرء أن يزيف الأرقام، ولكن لا يستطيع أن يزيف حقيقة أن عدد قليل فقط من الشقق لا تزال مشتعلة. أين ذهب الناس؟ #CCPVirus #COVID19ON #Corona Virus URL?	no	nan	nan	nan	nan	yes	yes
113	هذا لا يصدق. يقال أنه أخذ تهديد ماكرون بإغلاق حدود المملكة المتحدة لبوريس جونسون لإغلاق الحانات والمطاعم أخيرا. يشير إليسي إلى سياسة المملكة المتحدة على أنها 'إهمال بيني'. وهذا الفشل في القيادة يكلف الأرواح.	yes	no	yes	yes	yes	yes	yes
114	الأشياء التي قام بها GOP أثناء اندلاع Covid-19: - أسهم متاجر بها بصورة غير مشروعة - دعاها خدعة - إلقاء اللوم على الصين - حاول إنقاذ أعمال تجارية كبيرة بدون شروط ما لم يقموا به: - عمال مساعدة - مساعدة الأعمال التجارية الصغيرة - إنتاج ما يكفي من الاختبارات أو منافذ التهوية	yes	no	yes	yes	yes	no	yes
115	"المصدر: رئيس الأركان المُستخدم، آبا كياري، ذُكر أنه مريض، ومشتبه فيه بالتعاقد #Coronaفيروس، مراسلون الصحراء الكبرى، أبلغ مصدر حكومي رفيع المستوى SR يوم الاثنين أن كياري ""منخفضة"" بشكل خطير منذ عودتها من رحلة إلى الخارج. اقرأ العنوان: URL: URL. URL: URL: URL. URL: URL"	yes	no	yes	no	yes	yes	yes
116	3/16: نشر رون بول مقالاً يدعو كورونا إلى خُزعة 3/22: فحص ابن رون بول إيجابي للكورنا URL.	yes	nan	yes	yes	yes	no	no
117	هذه ليست أقل إشاعات معدية من #Coronaفيروس! هذه تبدو مثل قائمة دقيقة، ولكن مزيّفة أيضا! من فضلك لاحظ أنه لم تصدر مثل هذه التوجيهات من قبل USERID. في حالة أي شك، من فضلك #Dial100 أو تغرد إلينا! #TakkingonCorona URL.	no	nan	nan	nan	nan	no	no
118	كما رأينا على متن الوكند، يتم نشر unformation على الإنترنت حول ما يُفترض أنه إغلاق وطني والرحلات الجوية الأرضية. كن متشككاً في الشائعات. تأكد من أنك تحصل على معلومات من مصادر مشروعة. USERID تعقد اجتماعات إعلامية يومية و USERID تقدم آخر المعلومات.	yes	no	yes	no	no	no	yes
